Grid Points,_,_,_
-1.0,-1.0,-1.0,1.0672702125260292
-0.8666666666666667,-1.0,-1.0,0.98820876717940231
-0.73333333333333339,-1.0,-1.0,0.90935415907880579
-0.59999999999999998,-1.0,-1.0,0.83115287225104584
-0.46666666666666667,-1.0,-1.0,0.76399132798068203
-0.33333333333333337,-1.0,-1.0,0.7156157886490242
-0.19999999999999996,-1.0,-1.0,0.68998892763101594
-0.066666666666666652,-1.0,-1.0,0.68965138954299887
0.066666666666666652,-1.0,-1.0,0.71463900922027379
0.19999999999999996,-1.0,-1.0,0.76246596216200757
0.33333333333333326,-1.0,-1.0,0.82918956154035883
0.46666666666666656,-1.0,-1.0,0.91066561922305189
0.60000000000000009,-1.0,-1.0,1.0033065168022546
0.73333333333333339,-1.0,-1.0,1.1043059443996468
0.8666666666666667,-1.0,-1.0,1.2095138146044087
1.0,-1.0,-1.0,1.3149622642343541
-1.0,-0.8666666666666667,-1.0,1.0209966395437886
-0.8666666666666667,-0.8666666666666667,-1.0,0.94085377199619158
-0.73333333333333339,-0.8666666666666667,-1.0,0.86072937716684395
-0.59999999999999998,-0.8666666666666667,-1.0,0.7806293614175116
-0.46666666666666667,-0.8666666666666667,-1.0,0.70869588123936145
-0.33333333333333337,-0.8666666666666667,-1.0,0.65625685506493114
-0.19999999999999996,-0.8666666666666667,-1.0,0.62821319877040815
-0.066666666666666652,-0.8666666666666667,-1.0,0.62784244994627314
0.066666666666666652,-0.8666666666666667,-1.0,0.65519158751870721
0.19999999999999996,-0.8666666666666667,-1.0,0.70705123315894525
0.33333333333333326,-0.8666666666666667,-1.0,0.77853865146403711
0.46666666666666656,-0.8666666666666667,-1.0,0.86479996119961389
0.60000000000000009,-0.8666666666666667,-1.0,0.96186853026482866
0.73333333333333339,-0.8666666666666667,-1.0,1.0665436161883062
0.8666666666666667,-0.8666666666666667,-1.0,1.1729273443405777
1.0,-0.8666666666666667,-1.0,1.2793278791648359
-1.0,-0.73333333333333339,-1.0,0.98692872380798047
-0.8666666666666667,-0.73333333333333339,-1.0,0.90668672072104084
-0.73333333333333339,-0.73333333333333339,-1.0,0.8264447176341011
-0.59999999999999998,-0.73333333333333339,-1.0,0.74620271454716125
-0.46666666666666667,-0.73333333333333339,-1.0,0.67102338917662974
-0.33333333333333337,-0.73333333333333339,-1.0,0.61538247989049
-0.19999999999999996,-0.73333333333333339,-1.0,0.58538394225141144
-0.066666666666666652,-0.73333333333333339,-1.0,0.5849860499969155
0.066666666666666652,-0.73333333333333339,-1.0,0.61424632932703749
0.19999999999999996,-0.73333333333333339,-1.0,0.66928617425436199
0.33333333333333326,-0.73333333333333339,-1.0,0.74440914056713248
0.46666666666666656,-0.73333333333333339,-1.0,0.83420711434709605
0.60000000000000009,-0.73333333333333339,-1.0,0.93445899120843023
0.73333333333333339,-0.73333333333333339,-1.0,1.0406348407459389
0.8666666666666667,-0.73333333333333339,-1.0,1.1471195754189114
1.0,-0.73333333333333339,-1.0,1.2536043100918839
-1.0,-0.59999999999999998,-1.0,0.95402313115252491
-0.8666666666666667,-0.59999999999999998,-1.0,0.87378112806558517
-0.73333333333333339,-0.59999999999999998,-1.0,0.79353912497864532
-0.59999999999999998,-0.59999999999999998,-1.0,0.7132971218917058
-0.46666666666666667,-0.59999999999999998,-1.0,0.6356589367854002
-0.33333333333333337,-0.59999999999999998,-1.0,0.5766155492607048
-0.19999999999999996,-0.59999999999999998,-1.0,0.54448531195878802
-0.066666666666666652,-0.59999999999999998,-1.0,0.54405750962931165
0.066666666666666652,-0.59999999999999998,-1.0,0.57540285729634166
0.19999999999999996,-0.59999999999999998,-1.0,0.63382480082519266
0.33333333333333326,-0.59999999999999998,-1.0,0.71269549153404355
0.46666666666666656,-0.59999999999999998,-1.0,0.80603436944113238
0.60000000000000009,-0.59999999999999998,-1.0,0.90935396345641506
0.73333333333333339,-0.59999999999999998,-1.0,1.0158386981293877
0.8666666666666667,-0.59999999999999998,-1.0,1.1223234328023601
1.0,-0.59999999999999998,-1.0,1.2288081674753326
-1.0,-0.46666666666666667,-1.0,0.92111753849706923
-0.8666666666666667,-0.46666666666666667,-1.0,0.84087553541012938
-0.73333333333333339,-0.46666666666666667,-1.0,0.76063353232318986
-0.59999999999999998,-0.46666666666666667,-1.0,0.68039152923625024
-0.46666666666666667,-0.46666666666666667,-1.0,0.60103862807770903
-0.33333333333333337,-0.46666666666666667,-1.0,0.53821059091735968
-0.19999999999999996,-0.46666666666666667,-1.0,0.50363618164826862
-0.066666666666666652,-0.46666666666666667,-1.0,0.50317365025449989
0.066666666666666652,-0.46666666666666667,-1.0,0.53691116277386453
0.19999999999999996,-0.46666666666666667,-1.0,0.59909851165520711
0.33333333333333326,-0.46666666666666667,-1.0,0.68199707637154927
0.46666666666666656,-0.46666666666666667,-1.0,0.77902281946471441
0.60000000000000009,-0.46666666666666667,-1.0,0.8845578208398639
0.73333333333333339,-0.46666666666666667,-1.0,0.99104255551283638
0.8666666666666667,-0.46666666666666667,-1.0,1.0975272901858089
1.0,-0.46666666666666667,-1.0,1.2040120248587811
-1.0,-0.33333333333333337,-1.0,0.88821194584161345
-0.8666666666666667,-0.33333333333333337,-1.0,0.80796994275467393
-0.73333333333333339,-0.33333333333333337,-1.0,0.72772793966773419
-0.59999999999999998,-0.33333333333333337,-1.0,0.64748593658079445
-0.46666666666666667,-0.33333333333333337,-1.0,0.56729871708056789
-0.33333333333333337,-0.33333333333333337,-1.0,0.50025097914480587
-0.19999999999999996,-0.33333333333333337,-1.0,0.46284965747526635
-0.066666666666666652,-0.33333333333333337,-1.0,0.46234632503153023
0.066666666666666652,-0.33333333333333337,-1.0,0.49885268233307806
0.19999999999999996,-0.33333333333333337,-1.0,0.56524280502029201
0.33333333333333326,-0.33333333333333337,-1.0,0.65245721249677702
0.46666666666666656,-0.33333333333333337,-1.0,0.75329738829128867
0.60000000000000009,-0.33333333333333337,-1.0,0.85976167822331262
0.73333333333333339,-0.33333333333333337,-1.0,0.9662464128962851
0.8666666666666667,-0.33333333333333337,-1.0,1.0727311475692576
1.0,-0.33333333333333337,-1.0,1.1792158822422298
-1.0,-0.19999999999999996,-1.0,0.855306353186158
-0.8666666666666667,-0.19999999999999996,-1.0,0.77506435009921826
-0.73333333333333339,-0.19999999999999996,-1.0,0.69482234701227841
-0.59999999999999998,-0.19999999999999996,-1.0,0.61458034392533889
-0.46666666666666667,-0.19999999999999996,-1.0,0.53433834083839915
-0.33333333333333337,-0.19999999999999996,-1.0,0.46284630011310957
-0.19999999999999996,-0.19999999999999996,-1.0,0.42214388639186651
-0.066666666666666652,-0.19999999999999996,-1.0,0.42159195872694133
0.066666666666666652,-0.19999999999999996,-1.0,0.46133464433528559
0.19999999999999996,-0.19999999999999996,-1.0,0.53242378235787469
0.33333333333333326,-0.19999999999999996,-1.0,0.62424039402470766
0.46666666666666656,-0.19999999999999996,-1.0,0.72848080093378864
0.60000000000000009,-0.19999999999999996,-1.0,0.83496553560676134
0.73333333333333339,-0.19999999999999996,-1.0,0.9414502702797336
0.8666666666666667,-0.19999999999999996,-1.0,1.0479350049527061
1.0,-0.19999999999999996,-1.0,1.1544197396256786
-1.0,-0.066666666666666652,-1.0,0.82240076053070232
-0.8666666666666667,-0.066666666666666652,-1.0,0.74215875744376247
-0.73333333333333339,-0.066666666666666652,-1.0,0.66191675435682307
-0.59999999999999998,-0.066666666666666652,-1.0,0.58167475126988322
-0.46666666666666667,-0.066666666666666652,-1.0,0.50143274818294348
-0.33333333333333337,-0.066666666666666652,-1.0,0.42614270656059194
-0.19999999999999996,-0.066666666666666652,-1.0,0.38154471513103283
-0.066666666666666652,-0.066666666666666652,-1.0,0.3809339686738516
0.066666666666666652,-0.066666666666666652,-1.0,0.42450036853971806
0.19999999999999996,-0.066666666666666652,-1.0,0.50084527835116666
0.33333333333333326,-0.066666666666666652,-1.0,0.59753408133638197
0.46666666666666656,-0.066666666666666652,-1.0,0.70368465831723737
